store_id,dept_id,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28
CA_1,FOODS_1,248.44852,293.04184,299.4123,293.04184,369.48752,439.56274,356.74658,273.93042,293.04184,312.15326,324.8942,388.59894,458.67416,382.2285,305.78278,305.78278,312.15326,318.52374,369.48752,439.56274,382.2285,299.4123,293.04184,293.04184,312.15326,375.858,439.56274,375.858
CA_1,FOODS_2,524.03375,419.227,398.26566,398.26566,482.11108,586.9178,639.32117,492.59174,398.26566,503.07242,492.59174,534.51447,681.2439,744.1279,639.32117,586.9178,544.9951,513.5531,524.03375,660.28253,670.7632,534.51447,450.66904,419.227,429.70767,461.1497,597.3985,649.8019
CA_1,FOODS_3,2236.2402,1878.4419,1878.4419,1923.1666,2370.4146,2862.3875,2996.562,2057.341,1833.7169,2012.6161,2146.7905,2594.0386,3175.461,3309.6355,2415.1394,2191.5154,2102.066,2191.5154,2549.314,3175.461,3220.1858,2280.965,2012.6161,1967.8914,2012.6161,2370.4146,2951.837,3086.0115
CA_1,HOBBIES_1,443.55737,453.19992,443.55737,453.19992,520.6978,597.8382,578.5531,491.7701,453.19992,501.4127,559.26794,617.1233,655.69354,539.98285,482.1276,472.48502,453.19992,453.19992,530.3403,626.76587,549.6254,482.1276,433.9148,424.27225,433.9148,491.7701,646.05096,559.26794
CA_1,HOBBIES_2,39.39182,40.229942,36.03932,24.305588,42.744312,44.42056,54.478046,39.39182,41.90619,31.848705,45.258686,46.934933,51.963676,66.21178,41.90619,46.096806,45.258686,45.258686,46.096806,51.963676,55.316166,34.363075,45.258686,37.71557,35.2012,53.639923,54.478046,62.021156
CA_1,HOUSEHOLD_1,741.39764,650.6143,605.2226,590.09204,696.006,983.48676,1074.27,756.52826,650.6143,696.006,741.39764,832.181,1044.0089,1149.923,801.9199,680.8754,635.48376,635.48376,756.52826,1028.8784,1059.1395,771.6588,635.48376,620.35315,605.2226,741.39764,1028.8784,1074.27
CA_1,HOUSEHOLD_2,217.50641,195.31189,190.87299,199.7508,226.38423,306.28455,292.96783,204.18971,190.87299,213.06752,217.50641,266.3344,324.0402,284.09003,208.62862,199.7508,195.31189,199.7508,239.70096,297.40674,288.52893,204.18971,190.87299,181.99516,199.7508,230.82315,288.52893,297.40674
CA_2,FOODS_1,436.8481,455.8415,455.8415,493.8283,550.8085,645.77545,550.8085,446.3448,417.8547,436.8481,474.8349,531.81506,626.78204,550.8085,417.8547,417.8547,446.3448,474.8349,531.81506,636.27875,598.29193,427.35138,417.8547,436.8481,455.8415,512.82166,636.27875,550.8085
CA_2,FOODS_2,510.2807,460.2532,440.24216,410.22565,490.26968,690.37976,790.43475,520.28625,460.2532,460.2532,470.2587,550.3027,740.4073,800.4403,540.29724,480.2642,450.24765,470.2587,520.28625,720.3963,790.43475,520.28625,470.2587,430.23666,430.23666,510.2807,690.37976,760.41833
CA_2,FOODS_3,1871.5656,1715.6018,1715.6018,1754.5927,2144.5022,2768.3572,2612.3936,1793.5837,1715.6018,1754.5927,1832.5746,2222.4841,2768.3572,2612.3936,1793.5837,1754.5927,1715.6018,1754.5927,2027.5294,2651.3845,2534.4119,1793.5837,1637.6199,1676.6108,1715.6018,1988.5385,2534.4119,2456.4297
